,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
24,Kanchi Karp ,1038.0,5.65,1089.9,199.95,450.9
25,Ganesh Benzo ,68.75,1.33,80.45,26.4,428.72
26,Dhunseri Ventur ,112.25,14.08,112.25,45.1,393.15
27,TGV Sraac ,35.3,7.13,35.7,14.45,378.03
28,Diamines Chem ,327.75,-3.08,562.45,167.4,320.65
29,Hind Org Chem ,41.55,2.34,42.8,10.9,279.51
30,Tanfac Ind ,273.8,3.03,310.0,120.1,273.12
31,Punj Alkalies ,87.7,0.63,103.85,25.8,272.47
32,Indo Borax ,825.0,0.53,899.0,180.0,264.74
33,Khaitan Chemica ,23.15,3.81,30.85,6.1,224.53
34,Chemfab Alkalis ,154.0,0.03,174.7,113.7,216.53
35,Alufluoride ,257.25,5.0,445.0,74.0,201.18
36,Sunshield Chem ,265.5,0.09,291.5,77.95,195.22
37,Riddhi Siddhi ,258.4,0.56,309.0,200.0,184.23
38,Tuticorin Alkal ,13.6,1.49,14.5,4.2,165.7
39,Premier Explo ,151.4,0.73,177.0,66.5,162.79
40,Pondy Oxides ,225.5,-0.49,302.0,136.0,131.07
41,IVP ,116.85,2.5,139.45,31.6,120.66
42,Lords Chloro ,35.25,2.03,45.0,25.35,88.67
43,Alkali Metals ,56.95,2.89,68.45,33.3,57.99
44,Archit Organosy ,35.25,12.26,41.7,5.44,52.95
45,Mysore Petro ,76.0,3.9,90.5,35.15,50.03
46,Kesar Petro ,5.1,0.99,7.98,3.63,49.3
47,Ashok Alco-Chem ,103.05,4.99,103.05,13.3,47.41
48,Universal Starc ,80.0,2.89,80.0,19.95,33.6
49,Ritesh Intl ,35.3,4.9,35.35,3.1,30.19
50,Shree Hari Chem ,61.9,6.63,74.25,15.0,27.52
51,POCL Enterprise ,38.0,-4.76,45.9,16.2,21.19
52,TCM ,59.3,1.19,67.25,37.0,20.16
53,Polychem ,488.5,0.1,738.25,275.0,19.74
54,Vivid Global ,21.6,2.61,27.9,10.56,19.72
55,Laffans Petro ,20.0,4.17,20.5,10.34,16.0
56,SVC Superchem ,0.98,3.16,1.64,0.71,15.98
57,Haryana Leather ,31.1,-2.81,34.05,18.05,15.27
58,CaprolactumChem ,32.3,4.87,39.5,15.1,14.86
59,Lime Chemicals ,20.3,1.75,24.7,12.83,13.2
60,Jayshree Chem ,3.96,0.25,5.94,2.57,11.61
61,Refnol Resin ,37.2,0.54,39.25,18.35,11.49
62,Venlon Polyeste ,2.07,4.02,2.52,0.89,10.81
63,Gujchem Distill ,95.0,-4.95,280.0,68.4,1.54
64,Fischer Inorg ,25.45,4.95,48.5,24.25,0.44
0,Elgi Equipments ,218.0,2.16,244.0,62.5,6908.62
1,Kirloskar Pneum ,371.05,19.52,371.05,92.4,2384.64
2,Ingersoll Rand ,735.0,-1.43,911.15,555.4,2320.25
3,Shakti Pumps ,552.3,2.51,591.5,137.25,1015.14
4,Dynamatic Tech ,1052.55,2.37,1110.0,459.05,667.47
5,WPIL ,626.0,1.66,685.0,304.2,611.42
6,Roto Pumps ,210.6,11.28,210.6,83.1,325.46
7,Veljan Denison ,730.0,2.46,952.9,668.0,164.25
0,Cerebra Int ,50.55,0.0,64.0,23.1,595.81
1,Control Print ,325.0,7.46,336.3,177.65,530.78
2,D-Link India ,100.15,0.1,136.05,67.2,355.58
3,HCL Info ,8.8,0.92,12.35,5.23,289.7
4,TVS Electronics ,130.5,-3.73,192.2,66.0,243.39
5,Ducon Infratech ,7.17,-1.78,8.48,2.55,126.68
6,Compuage Info ,17.7,-0.56,21.45,8.45,115.01
7,Accel ,13.4,-4.96,18.42,3.25,76.39
8,PCS ,5.32,7.26,7.26,1.94,11.15
9,ECS Biztech ,2.77,-4.81,5.79,2.28,5.69
10,ACI Infocom ,0.3,0.0,0.52,0.19,3.31
11,Intl Data Mgmt ,5.05,0.0,6.6,3.54,1.11
0,PNC Infratech ,228.0,-2.81,291.0,100.95,5849.09
1,Rail Vikas ,27.65,1.84,35.6,16.2,5765.08
2,KNR Construct ,197.1,-1.47,242.1,90.2,5543.13
3,NCC ,73.65,-1.07,100.0,20.75,4491.52
4,Ashoka Buildcon ,81.9,-0.85,118.65,48.7,2299.12
5,J Kumar Infra ,179.35,-1.91,215.25,72.15,1357.06
6,ITD Cementation ,71.15,-0.56,94.45,32.8,1222.27
7,Hind Constr ,7.72,0.52,10.87,4.2,1168.06
8,Sadbhav Engg ,62.2,-0.16,85.35,36.2,1067.17
9,Man Infra ,38.75,0.26,46.7,15.75,959.06
10,Sadbhav Infra ,19.55,0.51,28.1,14.05,688.6
11,Patel Eng ,12.63,3.52,17.3,9.21,587.87
12,Rel Ind Infra ,377.25,2.61,479.7,250.0,569.65
13,Gayatri Project ,30.2,7.86,48.6,12.15,565.34
14,Man Industries ,93.65,2.86,96.4,35.0,534.77
15,Ramky Infra ,76.5,4.94,98.5,27.05,529.36
16,Shriram EPC ,4.34,8.5,6.21,2.43,421.64
17,Soril Infra Res ,122.85,-0.73,227.35,41.5,386.98
18,MBL Infra ,18.0,2.86,25.55,4.37,188.56
19,Simplex Infra ,29.75,-2.3,44.55,21.15,170.0
20,RPP Infra Proj ,60.9,0.5,83.65,38.25,144.03
21,GPT Infra ,39.1,-0.64,51.45,15.25,113.73
22,Noida Toll ,5.8,-2.19,8.7,2.72,107.99
23,Coromandel Engg ,26.0,-1.33,32.6,13.3,86.41
24,Gammon Infra ,0.72,1.41,1.02,0.36,67.81
25,Tarmat ,50.75,2.53,62.0,18.55,67.65
26,Atlanta ,7.76,3.74,11.62,2.62,63.24
27,ARSS Infra ,25.75,1.98,32.85,11.03,58.55
28,ILandFS Engg ,3.44,-4.97,5.68,2.0,45.11
29,Punj Lloyd ,1.34,0.0,3.11,0.93,44.97
30,Brahma Infra ,15.45,0.0,22.0,9.44,44.83
31,Supreme Infra ,15.0,3.16,16.06,6.1,38.55
32,SPML Infra ,9.56,-1.44,18.09,6.11,35.04
33,Madhucon Proj ,4.7,-2.08,7.82,1.63,34.68
34,Mukund Engg ,19.3,-4.93,20.5,6.57,24.26
35,Tantia Const ,7.96,4.87,7.96,0.9,22.88
36,C & C Construct ,4.42,4.49,7.75,1.91,11.25
37,Unity Infraproj ,0.79,-4.82,1.58,0.26,9.55
38,Setubandhan Inf ,0.72,2.86,1.44,0.62,9.05
39,Conart Engineer ,24.95,-2.16,35.9,15.3,7.83
40,Technofab Engg ,6.5,-4.97,12.85,4.74,6.82
41,VKJ Infra ,0.24,-4.0,0.27,0.19,5.71
42,Kaushalya Infra ,1.33,4.72,2.81,0.34,4.61
43,Shelter Infra ,9.15,0.0,17.2,7.99,3.27
44,Diamant Infra ,0.28,0.0,0.3,0.21,0.99
0,Embassy Office ,316.72,1.29,397.7,302.1,24440.18
1,Mindspace REIT ,298.65,-0.11,348.0,274.0,17710.49
2,Brookfield REIT ,247.9,1.11,280.05,215.25,7506.45
3,Anant Raj ,52.5,-0.47,62.55,14.2,1549.26
4,PSP Projects ,426.35,3.7,506.0,305.0,1534.86
5,Capacite Infra ,187.9,-0.61,229.9,70.15,1275.68
6,Anant Raj Globa ,27.3,-2.15,37.8,2.0,805.61
7,Karda Construct ,118.3,-2.47,139.45,22.52,727.55
8,BL Kashyap ,15.0,-4.76,21.79,3.84,338.16
9,Vascon Engineer ,16.15,2.54,21.25,6.88,294.15
10,GeeCee Ventures ,108.05,5.93,117.0,44.25,225.95
11,Nila Infra ,4.44,0.91,8.26,2.65,174.89
12,TCI Developers ,313.9,-0.06,444.75,255.0,117.07
13,Bigbloc Constru ,81.05,-1.88,176.65,23.05,114.75
14,Poddar Housing,165.75,-2.5,267.0,141.0,104.68
15,Ravinder Height ,16.9,0.9,36.0,1.0,103.51
16,AGI Infra ,70.9,2.6,111.3,37.7,86.62
17,Thakkars Dev ,75.05,-5.0,108.0,35.25,67.55
18,Shervani Indust ,233.8,1.67,375.0,210.3,63.15
19,Variman Global ,34.25,-1.58,36.2,11.2,57.34
20,Supreme Holding ,15.5,2.58,22.63,10.66,54.99
21,ETT ,44.4,2.07,65.0,31.95,46.04
22,Maruti Infra ,26.0,1.96,33.9,15.0,32.5
23,Shri Krishna ,11.45,1.33,28.9,11.3,32.06
24,RDB Realty ,17.0,-1.73,22.5,10.76,29.38
25,Rodium Realty ,62.95,1.78,116.0,51.0,20.45
26,HB Estate Dev ,9.1,0.0,14.4,5.82,17.71
27,Country Condos ,2.09,0.0,4.79,0.95,16.22
28,BSEL Infra ,0.94,1.08,1.6,0.81,7.77
29,Vas Infra ,4.37,4.8,5.5,1.83,6.61
30,Sri Krishna Con ,6.08,3.58,9.69,3.12,6.37
31,Franklin Ind ,10.05,-4.74,19.4,9.45,3.63
32,Steel Str Infra ,4.05,-4.93,6.54,3.55,3.5
33,Crane Infra ,4.25,0.0,4.72,2.33,3.08
34,Ishaan Infrastr ,4.7,-6.0,17.0,3.84,3.04
35,PVV Infra ,4.81,-4.94,9.73,3.15,2.8
36,KCL Infra ,0.99,-4.81,2.22,0.61,2.61
0,DLF ,247.95,0.12,332.6,125.05,61375.35
1,Godrej Prop ,1314.85,-3.87,1573.45,575.1,36545.34
2,Macrotech Dev ,599.65,1.02,621.25,421.15,26823.44
3,Oberoi Realty ,548.15,0.13,635.05,290.1,19930.86
4,Phoenix Mills ,746.95,3.89,888.95,466.25,12837.92
5,Prestige Estate ,266.35,-1.97,322.95,133.85,10676.95
6,Dilip Buildcon ,541.75,-0.81,719.0,232.65,7921.2
7,NBCC (India) ,41.45,2.09,54.0,16.8,7461.0
8,Brigade Ent ,250.0,-0.26,300.0,90.7,5272.84
9,Sobha ,491.55,1.15,548.0,172.4,4662.15
10,Sunteck Realty ,264.0,-1.11,393.95,145.0,3864.81
11,Indiabulls Real ,79.25,2.52,125.5,38.55,3603.21
12,Mahindra Life ,498.0,-1.59,577.3,171.2,2558.89
13,Ahluwalia ,283.5,-0.4,369.3,136.05,1899.1
14,Puravankara ,68.95,3.84,96.0,31.65,1635.15
15,Kolte-Patil ,208.2,-1.44,285.15,132.95,1582.41
16,Welspun Enter ,103.0,0.88,134.9,47.6,1533.3
17,JMC Projects ,81.25,-0.55,93.85,31.9,1364.23
18,Omaxe ,69.35,1.54,222.2,56.0,1268.42
19,Ashiana Housing ,120.0,-2.24,164.0,39.0,1228.23
20,DB Realty ,21.2,4.95,32.45,3.9,515.71
21,Ajmera Realty ,111.7,-0.13,151.4,73.75,396.37
22,Unitech ,1.5,0.0,2.56,1.2,392.45
23,Ganesh Housing ,72.65,3.86,87.45,19.7,357.63
24,Eldeco Housing ,1781.0,-2.12,2378.0,717.0,350.25
25,Arvind Smart ,94.0,-1.73,131.5,60.5,334.2
26,Parsvnath ,7.62,-3.54,11.2,1.76,331.61
27,Vipul ,26.5,-2.57,38.35,12.0,317.96
28,Prozone Intu ,17.1,-0.87,28.55,10.01,260.95
29,Arihant Super ,61.0,-1.61,66.6,16.5,251.08
30,HDIL ,4.96,4.86,8.92,1.51,235.11
31,Marathon Realty ,49.3,-0.7,109.6,42.2,226.78
32,Jaypee Infra ,1.47,-0.68,2.67,0.73,204.17
33,Peninsula Land ,7.2,0.28,9.52,2.72,201.02
34,Emami Realty,44.15,-1.01,73.55,22.6,123.35
35,Hubtown ,16.45,1.54,22.1,9.0,119.65
36,AMJ Land,24.65,-1.6,31.2,14.1,101.07
37,Ansal Propertie ,5.89,-1.17,13.89,3.6,92.71
38,Bhagyanagar Pro ,27.15,3.82,34.1,16.55,86.87
39,Prajay Engineer ,8.92,0.11,12.34,4.55,62.38
40,Ritesh Prop ,38.7,1.57,40.0,7.75,44.86
41,SAB Industries ,27.5,-1.79,56.0,26.75,41.77
42,Veer ,59.05,9.96,59.05,25.6,38.37
43,Ansal Housing ,5.16,0.0,8.5,2.92,30.64
44,Ansal Buildwell ,41.0,2.5,54.9,18.0,30.27
45,Marg ,5.83,4.86,9.41,5.15,29.63
46,Landmark Prop ,2.0,-2.44,2.88,1.14,26.83
47,Garnet Construc ,19.0,0.0,27.4,7.91,26.41
48,NEL HOLDINGS SO ,1.69,6.29,2.2,0.74,24.65
49,Alpine Hsg ,13.45,-4.88,17.5,7.41,23.3
50,Lancor Holdings ,5.39,-2.71,8.14,2.15,21.83
51,Radhe Developer ,8.49,6.13,12.0,7.59,21.38
52,Navkar Builders ,10.4,1.96,14.36,6.0,20.68
53,Swagruha Infra ,2.99,4.91,7.08,2.72,20.5
54,SSPDL ,14.75,-4.22,17.0,9.44,19.07
55,Nimbus Projects ,25.4,4.96,32.8,15.0,18.89
56,Maxheights ,11.6,1.75,15.45,9.5,18.11
57,Tirupati Sarjan ,5.27,11.42,10.4,4.02,17.39
58,Martin Burn Ltd ,33.1,4.58,37.8,18.35,17.06
59,Alchemist Real ,2.29,0.0,4.34,0.8,16.97
60,Satra Prop ,0.93,-2.11,2.3,0.54,16.59
61,Prime Property ,9.77,2.95,15.6,7.21,16.58
62,Arihant Found ,19.0,-4.76,31.0,11.76,16.34
63,Simplex Realty ,44.35,-4.73,61.2,29.55,13.27
64,Rander Corp ,10.05,0.1,11.57,10.04,12.4
65,Neo Infracon ,14.95,-4.78,18.55,12.35,7.93
66,Citadel Realty ,8.64,6.14,15.21,7.44,6.82
67,Kamanwala ,4.62,10.0,6.84,3.16,6.51
68,Rap Media ,9.0,-0.33,21.0,1.91,5.29
69,Rainbow Foundat ,9.14,4.94,15.26,7.35,5.04
70,Hazoor ,4.95,4.87,5.48,0.37,5.02
71,KMF Builders ,3.42,-5.0,5.2,1.54,4.17
72,Rama Petrochem ,2.69,4.67,6.52,2.15,2.82
73,Jainco Projects ,2.33,0.0,2.33,0.45,2.33
74,Patidar Build ,1.12,4.67,1.12,0.45,0.62
75,Bronze Infra ,0.34,-2.86,0.71,0.19,0.59
0,Nestle ,16526.4,1.32,18821.45,15104.25,159340.47
1,Britannia ,3439.15,-0.28,4015.0,2739.0,82838.22
2,Jubilant Food ,2891.55,0.02,3215.0,1486.8,38159.51
3,Hatsun Agro ,837.7,5.17,889.0,359.25,18058.45
4,Zydus Wellness ,2068.0,-1.46,2324.9,1185.0,13159.13
5,Godrej Agrovet ,501.2,0.48,568.7,349.15,9626.64
6,Burger King ,129.3,-0.42,219.15,60.0,4951.93
7,Hindustan Foods ,2040.0,-0.72,2580.0,472.55,4324.41
8,Tasty Bite ,16547.05,-1.5,17000.0,8905.2,4245.97
9,Barbeque Nat ,611.05,-2.08,839.0,481.35,2294.06
10,Bectors Food ,355.6,-0.06,629.8,288.0,2089.03
11,ADF Foods ,940.45,-0.62,1013.5,123.35,1883.04
12,DFM Foods ,354.0,4.56,443.7,170.0,1779.59
13,Heritage Foods ,360.0,-1.87,391.0,225.0,1670.33
14,Future Consumer ,7.09,1.72,19.64,5.94,1408.81
15,Prataap Snacks,539.0,-1.11,760.0,435.1,1264.12
16,Parag Milk Food ,113.6,1.97,129.3,83.75,955.54
17,Gulshan Poly ,156.25,3.58,167.85,24.35,733.08
18,Vadilal Ind ,1010.0,9.46,1010.0,477.1,725.97
19,KSE ,2124.8,-0.24,2620.4,1139.0,679.94
20,IFB Agro ,424.15,1.47,625.2,265.0,397.31
21,Sukhjit Starch ,206.0,3.21,217.4,142.6,304.05
22,Foods and Inns ,52.35,-0.38,65.0,38.4,263.52
23,Amrit Corp ,699.0,0.52,825.0,491.0,212.37
24,Bambino Agro ,207.0,3.32,278.0,88.9,165.78
25,Milkfood ,320.5,0.91,508.9,290.0,156.61
26,Vadilal Enter ,1781.3,0.0,1987.95,685.05,153.67
27,Sheetal Cool Pr ,134.0,-8.22,196.95,84.05,140.7
28,Umang Dairies ,61.2,3.9,70.0,34.0,134.66
29,Flex Foods ,76.45,-0.13,91.5,31.25,95.18
30,Freshtrop Fruit ,78.7,-1.32,88.0,45.3,85.96
31,MSR India ,10.29,-0.58,17.34,7.21,64.7
32,Gayatri Bio ,6.65,-5.0,8.68,1.33,52.39
33,Tasty Dairy Spe ,24.6,2.5,30.1,15.5,50.26
34,Oceanic Foods ,41.5,0.0,65.3,31.8,46.69
35,Chordia Food ,111.0,-8.45,125.0,75.45,44.71
36,Virat Crane ,21.7,-5.03,29.6,13.7,44.32
37,Anik Industries ,14.5,0.28,25.7,7.7,40.24
38,Tirupati Starch ,45.95,4.67,49.5,18.8,32.17
39,Megastar Foods ,27.5,-1.79,86.95,25.0,27.24
40,Modern Dairies ,9.1,1.68,14.45,2.52,21.22
41,Lotus Chocolate ,15.62,4.48,24.6,11.45,20.06
42,Nakoda Group ,26.0,0.0,42.0,21.1,17.82
43,Saboo Sodium ,6.45,0.16,10.53,2.76,15.6
44,Jetmall Spices ,17.6,3.53,21.0,15.4,10.55
45,Prima Agro ,18.5,2.78,21.55,5.3,9.61
46,Jhandewalas Foo ,8.46,-4.94,10.75,4.88,8.68
47,Oceanaa Biotek ,5.92,0.51,10.64,5.26,8.03
48,Sampre Nutritio ,14.95,-1.64,28.0,8.79,7.21
49,Mahaan Foods ,16.9,4.64,23.3,12.44,5.92
50,Kore Foods ,2.09,4.5,3.26,1.34,2.43
51,Transglobe ,158.45,8.34,302.25,29.8,2.3
52,Suryo Food ,4.01,-4.07,8.15,4.0,1.59
53,Shah Foods ,21.8,-4.8,38.0,16.0,1.3
54,Gold Coin Healt ,3.28,-4.93,6.4,2.72,0.98
0,TCPL Packaging ,498.0,4.79,509.0,213.0,453.18
1,Shree Ajit Pulp ,275.0,2.08,289.4,121.6,147.31
2,Bio Green Paper ,3.0,1.69,3.78,1.2,7.75
3,Bkm industries ,0.9,-3.23,1.58,0.5,5.9
4,Shree Karthik P ,2.08,4.52,4.65,1.48,3.97
0,Blue Dart ,5355.35,2.19,5847.95,1860.0,12707.14
1,Allcargo ,126.8,1.4,155.15,51.5,3115.42
2,Shreyas Shippin ,85.45,5.43,95.5,44.0,187.63
3,Lancer Containe ,73.0,2.24,114.4,23.15,73.34
4,Patel Integrate ,19.1,0.26,35.65,14.5,49.73
5,Tiger Logistics ,40.4,-0.86,56.9,29.6,42.71
6,Corp Courier ,4.49,-4.87,5.35,1.61,3.23
0,Tube Investment ,1254.65,1.36,1320.0,307.0,24191.77
1,Atlas Cycles ,27.25,0.74,61.5,25.0,17.72
0,Bharat Dynamics ,328.5,-2.49,481.25,207.0,6020.79
0,Hipolin ,33.0,-1.93,42.6,17.7,10.33
0,Grasim ,1413.95,0.7,1472.4,469.3,93044.25
1,RIL Partly Paid ,1020.4,-4.93,1469.95,536.25,43105.8
2,SRF ,6500.05,1.06,6588.85,3310.0,38509.68
3,Piramal Enter ,1706.25,1.57,2008.2,839.05,38482.48
4,3M India ,26075.0,1.91,30975.0,16770.0,29373.67
5,Linde India ,1817.0,-0.84,2078.6,485.7,15496.14
6,Guj State Petro ,273.0,1.15,311.4,177.5,15402.97
7,DCM Shriram ,759.0,7.97,759.3,229.05,11836.02
8,Birla Corp ,926.0,0.96,1014.2,372.5,7130.7
9,Prism Cement ,136.2,4.97,141.95,29.4,6855.72
10,Century ,485.9,1.0,549.25,254.2,5427.29
11,Surya Roshni ,451.95,8.65,451.95,75.5,2459.01
12,Balmer Lawrie ,126.35,-1.25,170.95,91.75,2160.63
13,S H Kelkar ,148.05,7.13,148.05,47.6,2092.25
14,Kesoram ,75.65,-0.26,89.9,21.4,1246.8
15,Andrew Yule ,21.25,-1.39,25.9,8.91,1039.02
16,Texmaco Infra ,70.25,0.29,80.9,31.0,895.17
17,Manaksia ,57.7,2.49,64.8,29.9,378.13
18,Oricon Ent ,21.75,1.64,29.85,11.5,341.58
19,EKI Energy ,301.7,-4.99,349.0,102.0,207.39
20,Kaira Can ,1115.0,-0.09,1415.0,602.25,102.82
21,Gillanders Arbu ,39.9,-0.87,51.15,17.85,85.16
22,Kesar Ent ,71.15,19.98,71.15,21.75,71.72
23,Beardsell ,10.12,1.3,11.9,6.0,28.44
24,Panth Infinity ,11.08,1.93,46.75,4.3,13.66
25,Swasti Vinayaka ,2.94,1.38,5.09,2.11,11.76
26,Mitshi India ,12.45,-1.58,49.4,11.03,10.96
27,Majestic Resear ,6.28,-4.99,12.16,4.75,6.3
28,Billwin Ind ,22.6,-4.24,57.0,22.6,4.82
29,Jatalia Global ,7.05,-0.56,7.37,2.4,2.61
0,Pidilite Ind ,1811.65,-0.4,1927.95,1307.05,92059.61
1,Godrej Ind ,507.95,-0.55,555.85,234.0,17093.79
2,Galaxy Surfacta ,2900.0,-0.57,2975.35,1201.0,10281.88
3,Aarti Surfactan ,1455.5,-0.72,1725.0,222.5,1103.92
4,Vishnu Chemical ,328.0,-0.68,367.5,114.0,391.83
5,Nikhil Adhesive ,483.35,5.0,484.0,80.4,222.07
0,Whirlpool ,2228.55,0.36,2777.0,1805.8,28274.02
1,CG Consumer ,376.25,-2.23,455.6,196.4,23616.89
2,Bajaj Electric ,1186.95,3.36,1224.5,320.0,13594.92
3,TTK Prestige ,7529.25,1.62,8055.25,4600.1,10436.6
4,Symphony ,1164.1,-1.1,1529.65,763.25,8143.69
5,IFB Industries ,968.0,-1.59,1458.1,333.0,3922.22
6,Hawkins Cooker ,5425.05,-0.01,6200.95,3950.0,2868.67
7,Stove Kraft ,463.0,1.21,547.4,385.0,1508.9
8,Butterfly ,656.05,-0.4,719.0,96.0,1172.99
9,PG Electroplast ,324.7,-2.52,501.0,31.95,639.46
10,Singer India ,43.5,2.47,51.25,19.2,233.66
11,Gorani Ind ,21.9,4.99,23.0,10.45,10.68
12,Viaan Ind ,0.9,2.27,1.73,0.62,9.92
13,Yuvraaj Hygiene ,1.0,0.0,1.0,0.41,9.07
0,Sudarshan Chem ,671.8,1.93,729.0,354.05,4650.69
1,Kiri Industries ,456.35,2.78,630.4,270.35,1534.28
2,Vidhi Spec ,188.15,0.83,218.0,55.7,939.72
3,Bhageria Indu ,167.95,3.13,192.55,92.8,733.0
4,Dynemic Product ,510.3,2.56,549.95,96.5,578.09
5,Shree Pushkar ,159.0,3.52,172.9,73.0,490.25
6,Asahi Songwon ,354.15,4.22,361.15,89.05,425.95
7,Generic Pharmas ,8.49,-1.51,16.63,7.31,235.05
8,Poddar Pigments ,214.3,3.03,227.5,127.1,227.37
9,AksharChem ,265.05,0.76,299.0,176.0,217.41
10,Vipul Organics ,179.0,0.87,204.85,84.95,170.94
11,Indian Toners ,135.55,1.35,156.0,57.1,147.07
12,Ishan Dyes ,64.8,11.34,64.8,20.2,103.47
13,Jaysynth Dyestu ,63.5,4.61,80.0,29.6,55.18
14,Shreyas Interme ,5.28,-4.86,12.69,2.35,37.41
15,Camex ,24.8,0.61,28.0,11.25,25.32
16,Dynamic Ind ,68.45,7.46,68.45,35.6,20.73
17,Indo Euro ,7.62,1.87,10.08,4.38,6.9
18,Organic Coating ,6.28,0.0,8.42,2.19,4.82
19,JD Orgochem ,3.18,-4.79,5.2,2.38,4.21
20,Pratiksha Chem ,6.27,-4.86,7.98,2.12,3.49
0,Zee Learn ,10.16,0.59,20.0,9.75,331.31
1,Shanti Educatio ,155.0,0.0,171.0,104.35,249.55
2,Career Point ,125.4,4.94,190.65,114.0,228.14
3,CL Educate ,87.5,-1.07,101.45,33.5,123.95
4,MT Educare ,6.92,0.14,18.21,6.22,49.98
5,Tree House ,8.1,1.12,10.02,3.75,34.27
6,Virtual Global ,0.61,-1.61,0.81,0.18,25.84
7,Ironwood Edu. ,24.65,4.89,36.1,18.05,19.49
8,Vantage Knowled ,6.23,-4.89,7.61,6.23,2.09
0,Siemens ,1888.5,0.36,2055.1,990.3,67253.31
1,Havells India ,1003.45,1.27,1237.8,447.2,62817.28
2,ABB India ,1387.0,0.31,1699.9,722.45,29391.69
3,CG Power,73.1,4.95,80.45,5.46,9780.77
4,V-Guard Ind ,225.0,0.69,262.0,159.55,9679.24
5,Suzlon Energy ,5.12,6.44,8.68,2.3,4356.1
6,GE T&D India ,119.8,4.31,148.5,58.0,3067.44
7,Schneider Infra ,93.5,2.97,120.85,68.45,2235.62
8,Apar Ind ,510.0,2.75,558.0,275.0,1951.7
9,Inox Wind ,77.65,0.65,96.75,23.75,1723.2
10,Igarashi Motors ,366.15,0.88,396.25,199.0,1152.46
11,Voltamp Trans ,1073.4,-0.71,1351.35,810.0,1085.97
12,Honda India PP ,987.15,-1.81,1234.6,758.05,1001.27
13,Bharat Bijlee ,1155.9,-0.52,1271.0,625.25,653.26
14,Elpro Int ,38.5,-3.02,48.5,29.05,652.49
15,TD Power System ,172.75,8.04,177.7,75.4,534.37
16,Shivalik Bimeta ,90.9,2.02,98.35,22.6,349.08
17,HPL Electric &,46.15,0.0,64.5,22.4,296.75
18,Permanent Magne ,299.0,3.19,319.7,75.0,257.09
19,Transformers ,19.0,-1.55,23.9,6.15,251.87
20,Veto Switch ,125.15,-4.83,158.05,31.2,239.22
21,Hind Rectifiers ,122.95,1.24,180.2,108.5,203.65
22,Modison Metals ,62.7,20.0,62.7,24.25,203.46
23,G G Engineering ,106.85,2.44,144.0,37.6,110.16
24,Majestic Auto ,99.05,-1.2,138.7,59.9,102.99
25,Indo Tech Trans ,93.3,-1.63,127.4,68.6,99.08
26,Artemis ,36.85,-0.41,129.0,34.15,92.51
27,Rishiroop ,95.0,7.04,98.9,22.9,92.16
28,Kirl Electric ,13.1,1.24,16.7,8.36,87.0
29,Shilchar Techno ,209.0,2.78,262.75,76.0,79.7
30,Lakshmi Elec ,301.0,-1.71,344.65,192.0,73.99
31,Mehai Technolog ,68.4,1.71,105.0,10.07,73.26
32,Waa Solar ,53.05,-3.55,57.0,7.78,70.38
33,Ujaas Energy ,2.48,0.81,10.46,2.26,49.67
34,Precision Elec ,32.6,4.99,37.25,11.41,45.15
35,Rexnord Electro ,37.95,4.98,39.9,18.15,42.35
36,RTS Power Corp ,43.75,-0.57,59.7,18.35,40.11
37,Delta ,28.75,-1.71,37.2,17.0,31.2
38,Jyoti ,11.06,-4.9,17.68,3.48,25.54
39,Calcom Vision ,23.85,-4.98,35.05,13.87,25.15
40,Dynavision ,64.0,-3.32,74.15,33.5,24.58
41,Star Delta Tran ,80.85,5.0,122.85,66.0,24.26
42,B C Power Contr ,3.21,1.9,11.86,2.89,18.87
43,Kaycee Ind ,2750.05,-1.95,3289.05,2527.0,17.45
44,MIC Electronics ,0.77,4.05,1.32,0.56,16.96
45,Jiya Eco ,4.93,-0.8,18.36,4.42,14.83
46,Sam Ind ,12.79,3.73,14.66,5.39,14.18
47,IMP Powers ,15.3,0.66,21.15,12.0,13.21
48,WS Industries ,4.52,0.0,7.98,1.24,11.87
49,Alfa Transforme ,11.75,3.16,17.2,8.81,10.75
50,RMC Switchgears ,16.0,-0.93,22.5,11.25,9.75
51,Aplab ,17.25,-0.29,23.75,4.45,8.63
52,Advik Capital,1.65,3.13,1.65,0.35,7.57
53,Tarapur Trans ,3.3,-4.9,3.87,3.0,6.44
54,Starlite Compo ,2.35,3.52,4.02,1.97,4.02
55,Sparc Systems ,4.24,4.95,5.12,2.42,2.07
56,Silver Oak Comm ,2.88,0.0,4.26,2.5,0.79
0,BGR Energy ,46.7,2.64,65.1,21.95,336.99
0,GE Power India ,257.95,-0.64,820.9,177.35,1734.13
0,Emco ,1.6,3.23,2.95,0.52,10.87
0,Graphite India ,744.8,1.83,749.5,161.7,14551.57
1,HEG ,2308.0,0.25,2564.0,659.15,8907.84
0,Esab India ,1800.0,0.91,2120.0,1025.0,2770.74
1,Ador Welding ,393.55,3.1,393.55,215.35,535.17
2,PanasonicCarbon ,458.95,-0.17,548.75,268.0,220.3
3,De Nora India ,270.25,11.42,363.6,146.3,143.47
4,Ador Fontech ,40.15,3.88,44.7,23.6,140.53
5,GEE ,40.45,-1.82,46.3,22.3,95.57
6,Rasi Electrodes ,4.4,8.11,5.7,1.8,13.7
