,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
3,GTPL Hathway ,132.0,2.29,163.0,39.95,1484.51
4,Catvision ,7.01,4.94,7.85,4.82,3.82
0,Polycab ,1480.0,0.84,1571.55,624.1,22070.61
1,Sterlite Techno ,232.4,0.96,248.75,86.8,9217.64
2,Finolex Cables ,363.4,0.44,426.45,192.3,5557.82
3,KEI Industries ,529.45,1.86,563.45,249.0,4757.4
4,Universal Cable ,150.15,4.13,175.6,83.0,520.95
5,Precision Wires ,203.0,2.58,215.0,74.1,469.48
6,Salzer Electro ,119.35,-0.38,153.7,59.45,190.75
7,Birla Cable ,61.25,4.88,74.1,36.5,183.75
8,Paramount Comm ,9.06,1.0,11.68,5.96,175.93
9,Ultracab India ,129.0,-0.54,145.0,38.3,164.13
10,Aksh Optifibre ,6.09,2.01,9.6,4.04,99.08
11,CMI ,42.55,-0.7,68.7,21.2,68.2
12,Dynamic Cables ,26.8,-2.72,36.75,15.6,59.0
13,Surana Telecom ,4.26,1.19,7.67,2.71,57.83
14,Cords Cable Ind ,40.7,0.25,52.7,26.8,52.62
15,Delton Cables ,40.55,9.3,56.9,24.05,35.04
16,Tamil Telecom ,5.1,0.79,9.64,1.15,23.3
17,Diamond Power ,0.67,-4.29,1.44,0.48,18.07
18,Sturdy Ind ,0.39,2.63,0.56,0.22,5.9
0,Rain Industries ,183.5,2.4,191.0,61.35,6171.94
1,Phillips Carbon ,206.95,-0.29,219.7,68.35,3566.53
2,Goa Carbon ,319.7,1.25,365.0,166.25,292.56
0,UltraTechCement ,6345.0,1.17,7050.0,3235.0,183150.58
1,Shree Cements ,27901.05,-0.02,32050.0,18025.75,100669.08
2,Ambuja Cements ,311.9,0.94,329.9,161.55,61932.27
3,ACC ,1900.0,0.94,2022.75,895.5,35679.58
4,Dalmia Bharat ,1547.25,2.65,1690.6,475.0,28951.76
5,Ramco Cements ,984.85,0.07,1120.0,502.9,23231.62
6,J. K. Cement ,2785.0,-0.77,3146.0,1041.55,21519.21
7,Heidelberg Cem ,240.15,1.37,255.95,140.3,5442.11
8,India Cements ,167.2,2.45,197.0,97.0,5181.48
9,JK Lakshmi Cem ,406.45,0.92,466.9,183.0,4782.7
10,Star Cement ,101.6,-1.26,111.85,66.8,4190.28
11,HIL ,3571.0,-1.19,3710.0,740.0,2675.59
12,Ramcoind ,277.55,-1.49,288.35,104.0,2405.33
13,Orient Cement ,110.5,4.94,113.8,35.25,2263.8
14,Jaiprakash Asso ,7.19,0.7,9.73,1.37,1757.41
15,Sagar Cement ,714.25,-0.5,828.95,263.0,1678.49
16,KCP ,107.1,9.06,107.1,36.1,1380.75
17,Sanghi Ind ,46.05,0.77,49.3,15.15,1155.86
18,Shree Digvijay ,70.85,0.71,74.5,22.25,1008.14
19,Visaka Ind ,601.55,3.91,604.0,152.0,991.41
20,NCL Industries ,186.0,0.49,195.85,61.85,841.33
